Concessionária;no da barra;Ponto de Conexão;TUST-RB (R$/kW.mês);;TUST-FR (R$/kW.mês)
;;;Ponta;Fora Ponta;Ponta;Fora Ponta
; 1322; IJUI 2 - 69;  5,018;  5,223;  0,505;  0,505
DMED;  170; POCOS CALDAS - 138;  5,794;  5,748;  1,796;  1,796
EDP ES;  175; CAMPOS - 138;  6,643;  6,454;  1,404;  1,404
; 3036; JOAO NEIVA 2 - 138;  7,046;  6,914;  1,210;  1,210
; 3024; LINHARES - 138;  7,118;  6,990;  0,571;  0,571
; 2655; MASCARENHAS - 138;  6,977;  6,844;  0,653;  0,653
; 3033; RIO NOVO SUL - 138;  6,915;  6,762;  2,429;  2,429
; 3030; SAO MATEUS 2 - 138;  7,214;  7,094;  2,765;  2,765
; 2909; VERONA - 138;  7,200;  7,079;  2,011;  2,011
; 2619; VIANA - 138;  7,024;  6,890;  0,547;  0,547
;  177; VITORIA - 138;  7,073;  6,943;  1,355;  1,355
EDP SP; 3045; AER.GUARULHOS - 138;  5,673;  5,677;  5,734;  5,734
;  452; AGUA AZUL - 138;  5,673;  5,677;  0,125;  0,125
;  459; APARECIDA - 88;  6,031;  6,229;  4,539;  4,539
;13058; VILA DE PAIVA - 88;  5,981;  6,068;  5,734;  5,734
; 3056; BARRA DO UNA - 138;  5,675;  5,674;  5,734;  5,734
; 3051; BIRITIBA - 138;  5,648;  5,649;  5,734;  5,734
; 3054; BOISSUCANGA - 138;  5,685;  5,684;  5,734;  5,734
; 3057; CARAGUATATUBA - 88;  5,723;  5,722;  5,734;  5,734
; 3081; CEBRASP - 88;  5,926;  5,998;  5,734;  5,734
; 3063; EMBRAER - 88;  5,794;  5,791;  5,734;  5,734
; 3084; GLEBA - 138;  5,697;  5,697;  5,734;  5,734
;  445; ITAPETI - 88;  5,647;  5,701;  0,575;  0,575
; 3060; JAMBEIRO - 88;  5,776;  5,773;  5,734;  5,734
; 3046; MANUEL AREIAS - 138;  5,657;  5,660;  5,734;  5,734
; 3055; MARESIAS - 138;  5,687;  5,687;  5,734;  5,734
; 3090; MASSAGUACU - 138;  5,723;  5,722;  5,734;  5,734
; 3082; MASTERFOODS - 88;  5,900;  5,964;  5,734;  5,734
;  447; MOGI - 88;  5,878;  5,952;  1,150;  1,150
;  446; MOGI - 230;  5,878;  5,952
;  443; NORDESTE - 88;  5,685;  5,701;  1,045;  1,045
;  436; NORTE - 88;  5,802;  5,827;  2,710;  2,710
; 3059; PORTO NOVO - 138;  5,715;  5,713;  5,734;  5,734
; 3069; RIO PARDO - 138;  5,680;  5,680;  5,734;  5,734
; 3048; PETROM - 138;  5,644;  5,646;  5,734;  5,734
; 3047; POLIMIX - 138;  5,655;  5,658;  5,734;  5,734
;  462; SANTA CABECA - 88;  5,789;  5,893;  1,389;  1,389
;  455; S.JOSE CAMPOS - 88;  5,994;  6,085;  0,038;  0,038
; 3078; SAO SEBASTIAO - 13,8;  5,697;  5,697;  5,734;  5,734
; 3072; SIFAO - 138;  5,649;  5,649;  5,734;  5,734
; 3075; SKOL - 88;  5,819;  5,859;  5,734;  5,734
;  601; TAUBATE - 138;  5,833;  5,828;  0,127;  0,127
ELEKTRO;  543; TRES IRMAOS - 138;  4,585;  4,425;  0,133;  0,133
; 1903; TRES LAGOAS 1 - 138;  4,610;  4,459;  5,734;  5,734
; 3801; AGUAI - 138;  5,651;  5,620;  5,734;  5,734
; 3934; AJINOMOTO BIO - 138;  6,136;  6,288;  5,734;  5,734
; 3840; AVANTI N.CORT - 138;  4,604;  4,453;  5,734;  5,734
; 3882; ANDRADINA - 138;  4,626;  4,474;  5,734;  5,734
; 3802; ARARAS 1 - 138;  5,449;  5,405;  5,734;  5,734
; 3803; ARARAS 2 - 138;  5,447;  5,404;  5,734;  5,734
; 3804; A.NOGUEIRA - 138;  5,593;  5,570;  5,734;  5,734
; 3841; ARUJA - 138;  5,660;  5,664;  5,734;  5,734
; 4130; PETRO ATIBAIA - 138;  5,722;  5,728;  5,734;  5,734
; 3842; ATIBAIA 1 - 138;  5,723;  5,729;  5,734;  5,734
; 3843; ATIBAIA 3 - 138;  5,715;  5,721;  5,734;  5,734
;  537; AGUA VERMELHA - 138;  4,797;  4,640;  0,044;  0,044
;  709; BERTIOGA II - 138;  5,658;  5,657;  5,734;  5,734
; 3844; BERTIOGA 1 - 138;  5,657;  5,656;  5,734;  5,734
; 3846; BERTIOGA 3 - 138;  5,669;  5,668;  5,734;  5,734
; 4170; BERTIOGA 4 - 138;  5,661;  5,660;  5,734;  5,734
; 3917; BURI - 138;  6,307;  6,538;  5,734;  5,734
;  591; CABREUVA - 138;  5,711;  5,714;  0,054;  0,054
; 3862; MELHORAMENTOS - 138;  5,709;  5,714;  5,734;  5,734
;  550; CAPIVARA - 138;  4,673;  4,549;  0,009;  0,009
; 3885; CARDOSO - 138;  4,835;  4,688;  5,734;  5,734
; 1907; CASTILHO - 138;  4,602;  4,450;  5,734;  5,734
;  624; CAPAO BONITO - 138;  6,426;  6,682;  0,033;  0,033
; 4144; JARINU 2 - 138;  5,702;  5,700;  5,734;  5,734
; 4172; CEDASA - 138;  5,488;  5,456;  5,734;  5,734
; 4148; FERRO LIGAS - 138;  6,210;  6,378;  5,734;  5,734
; 3933; PPE-INVEX - 138;  6,206;  6,373;  5,734;  5,734
; 3919; CERQUILHO - 88;  5,719;  5,805;  5,734;  5,734
; 3920; CESARIO LANGE - 138;  6,219;  6,391;  5,734;  5,734
; 3969; COCAL 2 - 138;  4,674;  4,551;  5,734;  5,734
; 3921; CONCHAS - 88;  5,719;  5,805;  5,734;  5,734
; 3805; CONCHAL - 138;  5,591;  5,568;  5,734;  5,734
; 3806; CORDEIROPOLIS - 138;  5,503;  5,470;  5,734;  5,734
; 7615; CPKELCCO - 138;  5,520;  5,489;  5,734;  5,734
; 3838; CRESCIUMAL - 138;  5,455;  5,409;  5,734;  5,734
; 3870; CRUZACO - 138;  5,717;  5,719;  5,734;  5,734
; 7603; CUTRALE COL. - 138;  5,657;  5,655;  5,734;  5,734
; 3837; DELTA ELK - 138;  5,496;  5,465;  5,734;  5,734
;  639; DRACENA - 138;  4,658;  4,525;  5,734;  5,734
; 9125; D.CENTER ITAU - 138;  5,612;  5,591;  5,734;  5,734
; 3833; TRW AUTOMOTI. - 138;  5,572;  5,546;  5,734;  5,734
; 4192; UTE ELDORADO - 138;  4,622;  4,469;  5,734;  5,734
; 4193; EMBRAMACO - 138;  5,492;  5,458;  5,734;  5,734
; 9127; EMPLAL - 138;  4,610;  4,459;  5,734;  5,734
; 3888; FERNANDOPOLIS - 138;  4,806;  4,659;  5,734;  5,734
;  642; FLOR.PAULISTA - 69;  4,672;  4,538;  5,734;  5,734
; 3851; FRANCISCO MOR - 138;  5,709;  5,714;  5,734;  5,734
; 3852; FRANCO DA ROC - 138;  5,709;  5,714;  5,734;  5,734
; 3869; D.QUIMICA ELK - 138;  5,657;  5,655;  5,734;  5,734
; 3864; GUARATUBA PBR - 138;  5,664;  5,663;  5,734;  5,734
; 3853; GUARUJA 1 - 138;  5,657;  5,655;  5,734;  5,734
; 3854; GUARUJA 2 - 138;  5,657;  5,655;  5,734;  5,734
; 3855; GUARUJA 3 - 138;  5,657;  5,655;  5,734;  5,734
; 9129; HONDA ELK - 138;  5,448;  5,402;  5,734;  5,734
; 4149; INTERNATIONAL - 138;  5,619;  5,597;  5,734;  5,734
; 4171; ITIRAPINA 2 - 138;  5,448;  5,402;  5,734;  5,734
; 3808; IRACEMAPOLIS1 - 138;  5,514;  5,482;  5,734;  5,734
;  647; ILHA SOLTEIRA - 138;  4,637;  4,481;  5,734;  5,734
; 3923; ITANHAEM 1 - 138;  5,873;  5,945;  5,734;  5,734
; 3938; ITANHAEM 2 - 138;  5,851;  5,916;  5,734;  5,734
; 3937; ITANHAEM 3 - 138;  5,905;  5,988;  5,734;  5,734
; 3126; ITAPETININGA1 - 138;  6,331;  6,548;  5,734;  5,734
;  649; JALES - 138;  4,769;  4,618;  5,734;  5,734
; 3858; JARINU 1 - 138;  5,702;  5,699;  5,734;  5,734
; 7616; JBS ANDRADINA - 138;  4,625;  4,472;  5,734;  5,734
;  541; JUPIA - 138;  4,604;  4,453;  0,010;  0,010
; 3925; JUQUIA - 138;  6,098;  6,245;  5,734;  5,734
; 3809; LEME 1 - 138;  5,457;  5,410;  5,734;  5,734
;  692; LIMEIRA I - 138;  5,521;  5,490;  5,734;  5,734
; 3834; AJINOMOTO INT - 138;  5,579;  5,555;  5,734;  5,734
; 3835; CONPACEL - 138;  5,578;  5,554;  5,734;  5,734
; 3811; LIMEIRA 2 - 138;  5,579;  5,555;  5,734;  5,734
; 3812; LIMEIRA 3 - 138;  5,541;  5,513;  5,734;  5,734
; 3813; LIMEIRA 4 - 138;  5,531;  5,501;  5,734;  5,734
; 3926; LARANJAL PAUL - 138;  6,121;  6,270;  5,734;  5,734
; 3950; LUK - 138;  5,631;  5,613;  5,734;  5,734
;  694; MAIRIPORA - 138;  5,708;  5,715;  5,734;  5,734
; 7604; MASTERFOODS - 138;  5,630;  5,611;  5,734;  5,734
; 3823; ENERGYWORKS - 138;  5,626;  5,602;  5,734;  5,734
; 3815; MAHLE ELK - 138;  5,629;  5,604;  5,734;  5,734
; 3816; MOGI GUACU I - 138;  5,619;  5,597;  5,734;  5,734
; 3817; MOGI GUACU 2 - 138;  5,623;  5,600;  5,734;  5,734
; 3893; MIRANDOPOLIS1 - 138;  4,684;  4,541;  5,734;  5,734
;  696; MOGI MIRIM II - 138;  5,618;  5,597;  5,734;  5,734
; 3818; MOGI MIRIM 1 - 138;  5,617;  5,596;  5,734;  5,734
; 4141; GUARIROBA 1 - 138;  4,830;  4,682;  5,734;  5,734
;  744; MONGAGUA - 138;  5,818;  5,872;  5,734;  5,734
; 4236; N.AVANHANDAVA - 13,8;  4,862;  4,739;  5,734;  5,734
; 3894; PALMEIRA OES - 138;  4,734;  4,581;  5,734;  5,734
; 3863; PARAIBUNA - 88;  5,757;  5,755;  5,734;  5,734
; 3895; PEREIRA BARR. - 138;  4,713;  4,560;  5,734;  5,734
;  746; PERUIBE - 138;  5,938;  6,031;  5,734;  5,734
;  699; P.FERREIRA - 138;  5,477;  5,422;  5,734;  5,734
; 3839; PIONEIROS-ELK - 138;  4,697;  4,543;  5,734;  5,734
; 3836; PETROBRAS ELK - 138;  5,471;  5,419;  5,734;  5,734
; 3821; PIRASSUNUNGA2 - 138;  5,492;  5,439;  5,734;  5,734
; 3896; PIRAPOZINHO 1 - 138;  4,676;  4,555;  5,734;  5,734
; 3820; PIRASSUNUNGA1 - 138;  5,466;  5,416;  5,734;  5,734
;  658; P. PRIMAVERA - 138;  4,637;  4,510;  5,734;  5,734
;  701; RIO CLARO-I - 138;  5,484;  5,449;  5,734;  5,734
; 3825; RIO CLARO 2 - 138;  5,445;  5,403;  5,734;  5,734
; 3826; RIO CLARO 3 - 138;  5,492;  5,460;  5,734;  5,734
;  747; REGISTRO - 138;  6,183;  6,359;  5,734;  5,734
;  546; ROSANA - 138;  4,637;  4,510;  0,064;  0,064
; 9126; RIO VERMELHO - 138;  4,664;  4,530;  5,734;  5,734
; 3856; SANTA ISABEL1 - 88;  5,851;  5,900;  5,734;  5,734
; 3078; SAO SEBASTIAO - 13,8;  5,697;  5,697;  5,734;  5,734
; 3830; S.ANT.POSSE 1 - 138;  5,612;  5,591;  5,734;  5,734
; 3828; S.C.PALMEIRAS - 138;  5,509;  5,457;  5,734;  5,734
; 3981; STA GERTRUDES - 138;  5,494;  5,460;  5,734;  5,734
; 4131; PETR S ISABEL - 88;  5,854;  5,905;  5,734;  5,734
; 3859; KARIBE - 138;  5,864;  5,917;  5,734;  5,734
; 3807; ELFUSA ELK - 138;  5,654;  5,617;  5,734;  5,734
; 3827; S.J.B.VISTAII - 138;  5,656;  5,619;  5,734;  5,734
; 3829; SANTA RITA - 138;  5,473;  5,413;  5,734;  5,734
; 3831; TAMBAU ELK - 138;  5,473;  5,413;  5,734;  5,734
;  548; TAQUARUCU - 138;  4,601;  4,465;  0,084;  0,084
; 3935; SANT.TEXTIL - 138;  6,266;  6,457;  5,734;  5,734
; 3929; TATUI 1 - 88;  6,331;  6,548;  5,734;  5,734
; 3930; TATUI 2 - 138;  6,250;  6,435;  5,734;  5,734
;  601; TAUBATE - 138;  5,833;  5,828;  0,127;  0,127
;  748; TIETE - 138;  6,179;  6,340;  5,734;  5,734
; 4150; TIGRE ELK - 138;  5,445;  5,403;  5,734;  5,734
;  672; UBARANA - 69;  4,960;  4,851;  5,734;  5,734
; 2018; UBATUBA 2 - 138;  5,723;  5,722;  5,734;  5,734
; 4133; VAL. GENTIL 1 - 138;  4,831;  4,687;  5,734;  5,734
; 3087; VIC. CARVALHO - 13,8;  5,656;  5,655;  5,734;  5,734
; 4147; V.CEL.PAPEL - 138;  4,612;  4,461;  5,734;  5,734
; 7627; VERALLIA - 138;  5,477;  5,422;  5,734;  5,734
; 3832; VAR.GRANDE 1 - 138;  5,626;  5,586;  5,734;  5,734
; 9128; VIDROPORTO - 138;  5,474;  5,421;  5,734;  5,734
; 3903; VOTUPORANGA 1 - 138;  4,859;  4,718;  5,734;  5,734
;  674; VOTUPORANGA 2 - 138;  4,855;  4,714;  5,734;  5,734
; 7620; VOTUPORANGA 3 - 138;  4,846;  4,703;  5,734;  5,734
ELETROCAR; 1279; SANTA MARTA – 69;  5,231;  5,400;  2,167;  2,167
; 1292; TAPERA 2 - 69;  5,408;  5,618;  2,115;  2,115
ELFSM; 2655; MASCARENHAS - 138;  6,977;  6,844;  0,653;  0,653
ENEL GOIAS; 2974; AGUAS LINDAS - 69;  6,625;  6,579;  3,263;  3,263
;  762; ANHANGUERA - 69;  5,662;  5,639;  5,301;  5,301
;  761; ANHANGUERA - 138;  5,672;  5,651;  1,254;  1,254
; 2980; BARRO ALTO - 69;  6,962;  6,903;  3,996;  3,996
;  236; BRAS. SUL - 138;  5,906;  5,788;  2,473;  2,473
;  755; C. DOURADA - 138;  4,585;  4,371;  2,313;  2,313
; 3715; CARAJAS - 138;  5,534;  5,508;  1,000;  1,000
; 3970; CORUMBA - 138;  5,421;  5,271;  1,957;  1,957
; 3018; EDEIA - 230;  5,142;  5,144
;  321; EMBORCACAO - 138;  5,502;  5,346;  1,159;  1,159
;  780; FIRMINOPOLIS - 138;  5,513;  5,531;  4,100;  4,100
; 2954; GOIANIA LESTE - 13,8;  5,884;  5,942;  2,238;  2,238
; 2989; ITAPACI - 69;  7,351;  7,322;  2,496;  2,496
; 3025; LUZIANIA - 138;  5,805;  5,669;  3,189;  3,189
; 3762; NIQUELANDIA - 69;  6,146;  6,006;  4,046;  4,046
; 2991; PALMEIRAS - 69;  5,255;  5,245;  2,835;  2,835
; 2950; PARANAIBA - 69;  5,138;  5,002;  5,421;  5,421
; 3724; PIRINEUS CELG - 138;  5,916;  5,951;  0,869;  0,869
; 2951; PLANALTO - 69;  5,124;  4,986;  0,435;  0,435
;  791; PARQUE EMAS - 138;  4,842;  4,731; 19,855; 19,855
; 3701; RIO CLARO - 138;  4,853;  4,741; 19,855; 19,855
;  238; RIO VERDE FUR - 138;  4,863;  4,751;  2,454;  2,454
; 3700; RIO DOS BOIS - 138;  4,729;  4,568; 19,855; 19,855
;  239; UHE S.DA MESA - 138;  5,664;  5,475; 10,079; 10,079
;  237; SAMAMBAIA - 138;  5,862;  5,739;  0,668;  0,668
;  768; XAVANTES - 138;  5,638;  5,642;  2,139;  2,139
ENEL-CE; 5383; AQUIRAZ II - 69;  6,534;  6,504;  0,911;  0,911
; 5423; BANABUIU - 69;  6,215;  6,184;  1,975;  1,975
; 5653; CAUIPE - 69;  6,344;  6,241;  1,737;  1,737
; 5473; DELM. GOUVEIA- 69;  6,845;  6,863;  1,794;  1,794
; 5453; FORTALEZA - 69;  6,456;  6,396;  1,595;  1,595
; 5633; ICO - 69;  6,335;  6,298;  1,542;  1,542
; 5413; MILAGRES - 69;  6,021;  5,941;  3,003;  3,003
; 5643; PICI II - 69;  6,603;  6,564;  1,574;  1,574
; 5433; RUSSAS II - 69;  5,895;  5,856;  2,980;  2,980
; 5483; SOBRAL II - 69;  6,362;  6,226;  1,731;  1,731
; 5613; TAUA II - 69;  6,397;  6,297;  2,555;  2,555
ENEL-RJ;  173; ADRIANOPOLIS - 138;  6,927;  6,822;  0,596;  0,596
;  185; ANGRA 1 - 138;  6,701;  6,585;  2,227;  2,227
; 1773; ANGRA AMPLA - 138;  6,739;  6,628;  4,649;  4,649
;  175; CAMPOS - 138;  6,643;  6,454;  1,404;  1,404
; 1771; JACUACANGA - 138;  6,746;  6,636;  4,649;  4,649
; 1770; MURIQUI - 138;  6,781;  6,676;  4,649;  4,649
; 1780; RESENDE - 138;  6,805;  6,712;  0,846;  0,846
;  169; SAO JOSE - 138;  6,830;  6,729;  1,067;  1,067
; 1736; VENDA PEDRAS - 138;  6,900;  6,780;  0,974;  0,974
ENEL-SP;  444; ANHANGUERA - 88;  5,793;  5,820;  0,251;  0,251
; 3494; BANDEIRANTES - 34,5;  5,819;  5,861;  1,511;  1,511
;  493; ECH BANDEIRAN - 88;  5,819;  5,861;  1,250;  1,250
; 3429; CENTRO-CTR - 20;  6,556;  6,751;  1,226;  1,226
;  428; CENTRO-CTR - 88;  6,556;  6,751;  0,304;  0,304
;  583; EMBU-GUACU - 138;  5,733;  5,758;  0,174;  0,174
;  411; EDGARD SOUZA - 88;  6,210;  6,301;  1,440;  1,440
;  588; JANDIRA - 88;  5,796;  5,811;  1,204;  1,204
;  465; LESTE - 88;  5,495;  5,500;  0,233;  0,233
;  496; M. FORNASARO - 88;  5,792;  5,820;  2,357;  2,357
; 3440; MIGUEL REALE - 20;  5,976;  6,033;  8,220;  8,220
;  441; MIGUEL REALE - 88;  5,976;  6,033;  0,441;  0,441
;  443; NORDESTE - 88;  5,685;  5,701;  1,045;  1,045
;  436; NORTE - 88;  5,802;  5,827;  2,710;  2,710
; 3739; PARELHEIROS - 138;  5,744;  5,773;  5,734;  5,734
;  486; PIRATININGA 2 - 88;  5,713;  5,731;  0,369;  0,369
;  485; PIRATININGA - 88;  5,558;  5,536;  0,295;  0,295
;  422; PIRITUBA - 88;  6,453;  6,583;  0,281;  0,281
;  467; RAM REBERT F - 88;  5,536;  5,548;  2,692;  2,692
; 3475; SUL - 88;  5,729;  5,755;  1,690;  1,690
ENERGISA ACRE; 6952; RIO BRANCO 1 - 69;  3,582;  3,253;  1,578;  1,578
; 6951; RIO BRANCO 1 – 138;  3,582;  3,253; 16,374; 16,374
ENERGISA BORBOREMA - EBO; 5226; C.GRANDE II - 69;  6,380;  6,310;  2,200;  2,200
ENERGISA M.G. DO SUL - EMS; 1079; ANASTACIO - 138;  4,932;  4,950;  1,512;  1,512
; 1890; C.G.IMBIRUSSU - 138;  4,643;  4,552;  1,802;  1,802
; 1026; CAMPO GRANDE2 - 138;  4,612;  4,513;  1,892;  1,892
; 1089; CHAPADAO - 230;  4,278;  4,083
; 1019; CORUMBA - 138;  4,972;  5,006;  0,960;  0,960
; 1142; DOURADOS - 138;  4,855;  4,782;  0,767;  0,767
;  847; GUAIRA - 138;  5,253;  5,346;  1,837;  1,837
; 1093; IVINHEMA 2 - 138;  4,766;  4,673;  0,686;  0,686
;  541; JUPIA - 138;  4,604;  4,453;  0,010;  0,010
;  658; P. PRIMAVERA - 138;  4,637;  4,510;  5,734;  5,734
; 1853; SELVIRIA - 138;  4,634;  4,479;  5,734;  5,734
; 1075; SIDROLANDIA - 138;  4,779;  4,726;  1,959;  1,959
ENERGISA MATO GROSSO - EMT; 4503; BARRA PEIXE - 138;  4,583;  4,457;  6,324;  6,324
; 4506; BARRA PEIXE - 13,8;  4,585;  4,459;  6,324;  6,324
; 4871; BRASNORTE - 138;  3,902;  3,761;  0,860;  0,860
; 4513; C. MAGALHAES - 138;  4,833;  4,722; 19,855; 19,855
; 4683; CANARANA CMT - 138;  5,102;  4,994;  2,569;  2,569
; 4533; COXIPO - 138;  4,524;  4,457;  0,916;  0,916
; 4643; JACIARA CMT - 138;  4,518;  4,450; 19,855; 19,855
; 4807; JAURU - 138;  4,189;  4,051
; 4870; JUBA - 138;  4,043;  3,897
; 4895; JUINA - 138;  3,806;  3,653;  0,685;  0,685
; 4894; JUINA - 230;  3,747;  3,586
; 4575; LUCAS R.VERDE - 138;  4,400;  4,369;  1,067;  1,067
; 4554; NOVA MUTUM - 69;  4,042;  3,939;  3,936;  3,936
; 4544; NOBRES - 138;  4,233;  4,148;  0,696;  0,696
; 4978; PARANAITA - 138;  3,868;  3,661;  2,764;  2,764
; 4874; PARECIS - 138;  3,591;  3,402
; 4613; PETROVINA - 138;  4,631;  4,528; 19,855; 19,855
; 4623; RONDONOPOLIS1 - 138;  4,429;  4,335;  1,450;  1,450
; 6563; SANT. ARAGUAIA - 138;  8,969;  9,127;  5,178;  5,178
; 4583; SINOP - 138;  4,089;  3,954;  1,559;  1,559
; 4586; SINOP - 13,8;  4,088;  3,953
; 4564; SORRISO - 69;  4,246;  4,172;  4,544;  4,544
; 4712; VZ.GRANDE CMT - 138;  4,526;  4,459;  1,393;  1,393
ENERGISA MINAS GERAIS - EMG; 3338; PADRE FIALHO - 138;  6,900;  6,789;  1,213;  1,213
ENERGISA PARAIBA - EPB; 5226; C.GRANDE II - 69;  6,380;  6,310;  2,200;  2,200
; 5623; COREMAS - 69;  6,358;  6,330;  1,292;  1,292
; 5203; GOIANINHA - 69;  7,016;  7,067;  2,264;  2,264
; 5213; MUSSURE II - 69;  7,207;  7,317;  0,953;  0,953
; 5249; PILOES - 138;  6,117;  6,021; 12,643; 12,643
; 5253; SANTA CRUZ II - 69;  5,999;  5,891; 12,643; 12,643
; 5273; SANTA RITA II - 69;  7,092;  7,152;  0,874;  0,874
ENERGISA SERGIPE - ESE; 5713; ITABAIANA - 69;  6,261;  6,206;  1,069;  1,069
; 5723; JARDIM SE - 69;  6,125;  6,036;  1,641;  1,641
; 5743; N.S.SOCORRO - 69;  6,207;  6,133;  0,900;  0,900
; 5293; PENEDO - 69;  7,972;  8,099;  0,920;  0,920
; 6253; ZEBU - 69;  5,815;  5,705;  5,976;  5,976
ENERGISA SUL SUDESTE - ESS; 3192; ASSIS I - 88;  4,974;  4,941;  5,734;  5,734
; 3193; ASSIS III - 88;  4,968;  4,933;  5,734;  5,734
; 3190; BASTOS - 138;  4,672;  4,538;  5,734;  5,734
; 3155; BORBOREMA - 138;  5,075;  4,980;  5,734;  5,734
; 3158; BRA. PAULISTA - 138;  5,704;  5,703;  5,734;  5,734
; 3197; CANDIDO MOTA - 88;  5,132;  5,139;  5,734;  5,734
;  550; CAPIVARA - 138;  4,673;  4,549;  0,009;  0,009
;  638; CATANDUVA - 138;  5,018;  4,911;  5,734;  5,734
; 9513; UTE COCAL - 88;  4,910;  4,858;  5,734;  5,734
; 9112; DECASA - 88;  5,052;  5,039;  5,734;  5,734
; 3175; ENEIDA - 138;  4,676;  4,553;  5,734;  5,734
; 3180; ALTO ALEGRE - 138;  4,676;  4,553;  5,734;  5,734
;  642; FLOR.PAULISTA - 69;  4,672;  4,538;  5,734;  5,734
; 9519; MARACAI - 88;  4,931;  4,886;  5,734;  5,734
; 3184; HALOTEK FADEL - 88;  5,019;  4,998;  5,734;  5,734
; 3199; IBIRAREMA - 88;  5,075;  5,067;  5,734;  5,734
; 3173; MARTINOPOLIS - 88;  4,751;  4,652;  5,734;  5,734
; 3174; OSVALDO CRUZ - 138;  4,672;  4,538;  5,734;  5,734
; 3198; PALMITAL - 88;  5,026;  5,006;  5,734;  5,734
; 3194; PAR.PAULISTA2 - 88;  4,912;  4,861;  5,734;  5,734
; 3171; PRE.PRUDENTE1 - 88;  4,705;  4,592;  5,734;  5,734
; 3172; PRE.PRUDENTE4 - 138;  4,677;  4,556;  5,734;  5,734
; 3178; PRE.PRUDENTE5 - 138;  4,670;  4,548;  5,734;  5,734
; 3176; PRE.VENCESLAU - 138;  4,642;  4,510;  5,734;  5,734
; 9521; QUATA II - 88;  4,863;  4,798;  5,734;  5,734
; 3196; RANCHARIA - 88;  4,819;  4,740;  5,734;  5,734
; 3195; SANTA LINA - 88;  4,872;  4,810;  5,734;  5,734
; 3159; STA.TEREZINHA - 138;  5,703;  5,701;  5,734;  5,734
; 3191; TUPA - 138;  4,833;  4,716;  5,734;  5,734
;  672; UBARANA - 69;  4,960;  4,851;  5,734;  5,734
; 3164; URUPES 2 - 138;  4,997;  4,890;  5,734;  5,734
ENERGISA TOCANTINS - ETO; 7308; COLINAS--138;  5,806;  5,652;  1,345;  1,345
; 5593; IMPERATRIZ - 69;  6,232;  6,163;  1,140;  1,140
; 7205; MIRACEMA - 13,8;  5,783;  5,633;  1,777;  1,777
; 7202; MIRACEMA - 138;  5,781;  5,631;  1,777;  1,777
; 5602; PORTO FRANCO - 138;  7,357;  7,551;  2,237;  2,237
; 7222; PALMAS - 138;  5,853;  5,744;  1,796;  1,796
; 7113; PEIXE 2 - 500;  5,680;  5,518
EQUATORIAL ALAGOAS; 6203; ABAIXADORA - 69;  5,772;  5,650;  1,101;  1,101
; 5103; ANGELIM - 69;  6,321;  6,238;  2,076;  2,076
; 6083; ARAPIRACA III - 69;  8,444;  8,701;  0,514;  0,514
; 5314; MACEIO II - 69;  7,211;  7,296;  0,136;  0,136
; 5313; MACEIO - 69;  7,300;  7,403;  1,321;  1,321
; 5293; PENEDO - 69;  7,972;  8,099;  0,920;  0,920
; 5113; RIO LARGO II - 69;  7,782;  7,908;  1,049;  1,049
; 6265; ZEBU 2 - 69;  5,815;  5,705;  0,402;  0,402
; 6254; ZEBU - 13,8;  5,815;  5,705;  5,976;  5,976
EQUATORIAL MARANHÃO; 5678; UB.ESPERANCA - 69;  6,146;  5,984;  1,940;  1,940
; 5393; BALSAS - 69;  6,182;  6,183;  3,767;  3,767
; 5513; B. ESPERANCA - 69;  6,146;  5,984;  4,001;  4,001
; 5526; COELHO NETO - 69;  7,275;  7,240;  2,630;  2,630
; 5529; SE CAXIAS II - 69;  7,372;  7,357;  2,939;  2,939
; 5687; CHAPADINHA II - 69;  7,139;  7,090;  3,228;  3,228
; 6003; ENCRUZO NOVO - 69;  7,243;  7,210;  1,760;  1,760
; 5593; IMPERATRIZ - 69;  6,232;  6,163;  1,140;  1,140
; 5543; MIRANDA II - 69;  6,609;  6,514;  3,111;  3,111
; 5542; MIRANDA II - 138;  6,609;  6,514;  1,566;  1,566
; 5545; MIRANDA II - 13,8;  6,609;  6,514;  3,111;  3,111
; 5583; P.DUTRA - 69;  6,678;  6,599;  2,265;  2,265
; 5603; PORTO FRANCO - 69;  7,386;  7,587;  4,579;  4,579
; 5602; PORTO FRANCO - 138;  7,357;  7,551;  2,237;  2,237
; 5533; PERITORO - 69;  7,137;  7,107;  2,457;  2,457
; 5535; PERITORO - 13,8;  7,137;  7,107;  2,457;  2,457
; 5528; SCHINCARIOLMA - 230;  7,372;  7,357
; 5563; SAO LUIS I - 69;  6,837;  6,762;  1,178;  1,178
; 5693; SAO LUIS III - 69;  6,549;  6,443;  0,749;  0,749
; 5578; SAO LUIS IV - 69;  6,400;  6,288;  1,820;  1,820
; 5503; TERESINA - 69;  6,896;  6,817;  1,131;  1,131
EQUATORIAL PIAUI; 5678; UB.ESPERANCA - 69;  6,146;  5,984;  1,940;  1,940
; 7183; BOM JESUS II - 69;  6,217;  6,074;  2,344;  2,344
; 5513; B. ESPERANCA - 69;  6,146;  5,984;  4,001;  4,001
; 5683; ELISEU MARTINS - 69;  6,187;  6,048;  1,251;  1,251
; 7193; GILBUES II - 69;  5,763;  5,610;  1,545;  1,545
; 5673; PICOS - 69;  6,190;  6,024;  3,760;  3,760
