Concessionária;no da barra;Ponto de Conexão;TUST-RB (R$/kW.mês);;TUST-FR (R$/kW.mês)
;;;Ponta;Fora Ponta;Ponta;Fora Ponta
; 6482; UTINGA - 69;  7,238;  7,259;  1,033;  1,033
; 6463; VILA DO CONDE - 69;  6,835;  6,792;  2,121;  2,121
; 6572; XINGUARA 2 - 138;  8,686;  8,814;  0,831;  0,831
CELPE; 5106; ANGELIM - 13,8;  6,321;  6,238;  2,076;  2,076
; 5103; ANGELIM - 69;  6,321;  6,238;  2,076;  2,076
; 5093; ARCOVERDE II - 69;  6,217;  6,115;  2,912;  2,912
; 5403; BOM NOME - 69;  5,982;  5,991;  2,817;  2,817
; 5402; BOM NOME - 138;  5,982;  5,991;  1,184;  1,184
; 5158; BONGI - 13,8;  7,124;  7,241;  3,408;  3,408
; 5406; BOM NOME - 13,8;  5,982;  5,991;  2,817;  2,817
; 5156; BONGI - 69;  7,124;  7,241;  1,032;  1,032
; 5099; GARANHUNS II - 69;  6,196;  6,093;  2,973;  2,973
; 5203; GOIANINHA - 69;  7,016;  7,067;  2,264;  2,264
; 6257; ITAPARICA - 69;  5,815;  5,705;  5,976;  5,976
; 5347; JABOATAO II - 69;  6,792;  6,794;  1,354;  1,354
; 5333; JOAIRAM - 69;  6,926;  6,974;  0,307;  0,307
; 6313; JUAZEIRO II - 69;  5,534;  5,444;  1,763;  1,763
; 5193; MIRUEIRA - 69;  7,114;  7,153;  0,722;  0,722
; 5343; MIRUEIRA II - 69;  6,728;  6,718;  1,323;  1,323
; 5183; PAU FERRO - 69;  6,633;  6,610;  0,577;  0,577
; 5133; PIRAPAMA II - 69;  6,686;  6,664;  1,389;  1,389
; 5283; RIBEIRAO - 69;  7,005;  6,996;  2,570;  2,570
; 5363; SUAPE III - 69;  6,597;  6,555;  0,881;  0,881
; 5362; SUAPE III - 230;  6,597;  6,555
; 5123; TACAIMBO - 69;  6,539;  6,483;  1,692;  1,692
CEMIG-D; 4081; ARACUAI 2 - 138;  6,619;  6,478;  2,213;  2,213
;  309; BARBACENA 2 - 138;  6,933;  6,894
;  314; BARREIRO 1 - 138;  6,779;  6,717;  0,392;  0,392
; 9014; CONSE. PENA - 69;  6,828;  6,727;  3,462;  3,462
; 9009; CONSE. PENA - 13,8;  6,828;  6,727;  2,434;  2,434
;  321; EMBORCACAO - 138;  5,502;  5,346;  1,159;  1,159
; 9007; G.VALADARES 2 - 13,8;  6,806;  6,705;  1,534;  1,534
; 1532; IPATINGA 1 - 161;  7,011;  6,924
; 9011; IPATINGA 1 - 13,8;  7,048;  6,968;  2,271;  2,271
; 1535; IPATINGA 1 - 138;  7,019;  6,934;  0,093;  0,093
; 1537; ITABIRA 2 - 69;  7,167;  7,120
; 9020; ITABIRA 2 - 13,8;  7,065;  7,002;  0,315;  0,315
; 1504; ITAJUBA 3 - 138;  6,508;  6,405;  1,296;  1,296
;  323; ITUTINGA-SE - 138;  6,750;  6,675;  0,546;  0,546
;  332; JUIZ DE FORA1 - 138;  6,984;  6,957;  0,753;  0,753
;  330; JAGUARA-SE - 138;  5,517;  5,374;  0,782;  0,782
; 4312; JANAUBA 3 - 138;  6,370;  6,233;  2,698;  2,698
; 4326; J. MONLEVADE 4 - 69;  7,214;  7,175;  1,967;  1,967
;  337; LAFAIETE 1 - 138;  6,887;  6,833;  0,450;  0,450
;  187; M. MORAES - 138;  5,585;  5,469;  1,777;  1,777
;  342; MONTESCLAROS2 - 138;  6,148;  6,010;  1,014;  1,014
;  353; NEVES 1 - 138;  6,539;  6,447;  0,387;  0,387
;  386; OURO PRETO 2 - 138;  6,601;  6,517;  1,638;  1,638
;  170; POCOS CALDAS - 138;  5,794;  5,748;  1,796;  1,796
; 4066; PARACATU 4 - 138;  5,729;  5,587;  2,185;  2,185
; 3112; P. COLOMBIA - 138;  5,266;  5,122;  0,988;  0,988
;  368; PIMENTA - 138;  6,170;  6,070;  0,567;  0,567
; 1569; PIRAPORA 2 - 138;  6,057;  5,928;  0,429;  0,429
; 4095; SANT.DUMONT 2 - 138;  6,990;  6,962;  0,633;  0,633
;  377; S. G. DO PARA - 138;  6,370;  6,271;  0,939;  0,939
; 9049; SAO GOTARDO 2 - 138;  5,976;  5,852;  0,873;  0,873
; 1478; SETE LAGOAS 4 - 138;  6,580;  6,495;  0,451;  0,451
;  376; TAQUARIL - 138;  6,670;  6,594;  0,409;  0,409
; 9031; TIMOTEO 1 - 13,8;  7,413;  7,422;  2,042;  2,042
;  382; TRES MARIAS - 138;  6,001;  5,879;  0,670;  0,670
;  348; G.VALADARES 2 - 138;  6,805;  6,701;  0,862;  0,862
; 4028; VESPASIANO 2 - 500;  6,559;  6,465
;  399; VARZEA PALMA1 - 138;  6,084;  5,958;  1,813;  1,813
CEMIRIM; 3138; CEMIRIM - 138;  5,612;  5,591;  5,734;  5,734
CERILUZ; 9674; IJUI 1 - 23;  5,018;  5,223;  7,489;  7,489
CERMISSOES; 2079; MISSOES - 69;  4,921;  5,125;  2,665;  2,665
CERON; 6935; ABUNA - 13,8;  3,268;  2,904;  3,123;  3,123
; 6931; ABUNA - 138;  3,268;  2,904;  3,123;  3,123
; 6881; ARIQUEMES - 69;  3,784;  3,553;  1,524;  1,524
; 6869; JARU - 138;  4,066;  3,891;  4,189;  4,189
; 6871; JARU - 69;  4,066;  3,891;  7,820;  7,820
; 6842; JI PARANA - 69;  4,143;  3,986;  1,698;  1,698
; 6841; JI PARANA - 138;  4,143;  3,986;  0,346;  0,346
; 6863; JIRAU - 69;  3,167;  2,791
; 6821; PIMENTA BUENO - 138;  4,087;  3,928;  1,637;  1,637
; 6901; PORTO VELHO - 69;  3,061;  2,672;  0,659;  0,659
; 6801; VILHENA - 69;  4,030;  3,869;  0,717;  0,717
CERTAJA; 2077; P.PETROQUIMIC - 69;  5,264;  5,503;  1,794;  1,794
CERTEL; 9782; LAJEADO 3 - 69;  5,556;  5,875;  1,191;  1,191
CHESP; 2989; ITAPACI - 69;  7,351;  7,322;  2,496;  2,496
COELBA; 6203; ABAIXADORA - 69;  5,772;  5,650;  1,101;  1,101
; 6363; BARREIRAS - 69;  6,287;  6,823;  1,893;  1,893
; 6365; BARREIRAS - 138;  6,287;  6,823;  0,438;  0,438
; 6353; B.J.LAPA II - 69;  5,912;  5,784;  3,385;  3,385
